"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"11","MO-SRM-FS-BULK/I0012","SRM-NFSFS-KA/I0001","SRM-NFSFS-KA/I0001","QC FG","JADWAL BARU","1","(not set)","2023-06-24","2023-06-26","NFS Kahf Brightening and Texture Refining Face Serum 5 ml","Processing","Done","SRM-NFSFS-KA","(not set)",""
"12","MO-D-RRO-BULK/I0002","D-RRO-KA/I0002","D-RRO-KA/I0002","QC FG","JADWAL BARU","1","(not set)","2023-05-30","2023-06-02","Kahf Antibacterial Shield Antiperspirant Deodorant 45 ml","Processing","Done","D-RRO-KA","EJ31A",""
"13","MO-SS-DUVSDE-BULK/I0017","SS-DUVSDENP-L/I0003","SS-DUVSDENP-L/I0003","QC FG","JADWAL BARU","1","(not set)","2023-06-12","2023-06-22","LABORE Sensitive Skin Care BiomeProtect Physical Sunscreen 10 ml &lt;SFG&gt;","Processing","Done","SS-DUVSDENP-L","FJ12A",""
"14","MO-HBW-NSR-BULK/I0007","HBW-NSR-KA/I0007","HBW-NSR-KA/I0007","QC FG","JADWAL BARU","1","(not set)","2023-06-13","2023-06-15","Kahf Refreshing Hair and Body Wash 100 ml","Processing","Done","HBW-NSR-KA","FJ13A",""
"15","MO-SS-NSFBH-BULK/I0004","SS-NSFBH-KA/I0004","SS-NSFBH-KA/I0004","QC FG","JADWAL BARU","1","(not set)","2023-06-02","2023-06-05","Kahf Complete Protection Face and Body Sunscreen Moisturizer 100 ml","Processing","Done","SS-NSFBH-KA","FJ03A",""
"16","MO-SS-NSFBH-BULK/I0006","SS-NSFBH-KA/I0006","SS-NSFBH-KA/I0006","QC FG","JADWAL BARU","1","(not set)","2023-06-16","2023-06-19","Kahf Complete Protection Face and Body Sunscreen Moisturizer 100 ml","Processing","Done","SS-NSFBH-KA","FJ16A",""
"17","MO-SS-SBAT30-BULK/I0153","SS-SBAT30-EM/I0132","SS-SBAT30-EM/I0132","QC FG","JADWAL BARU","1","(not set)","2023-06-27","2023-07-03","Emina Sun Battle SPF 30 PA+++ 60 ml","Processing","Done","SS-SBAT30-EM","GJ04B",""
"18","MO-HBW-NSR-BULK/I0006","HBW-NSR-KA/I0006","HBW-NSR-KA/I0006","QC FG","JADWAL BARU","1","(not set)","2023-05-31","2023-06-03","Kahf Refreshing Hair and Body Wash 100 ml","Processing","Done","HBW-NSR-KA","EJ31A",""
"19","MO-SS-SBAT30-BULK/I0148","SS-SBAT30-EM/I0128","SS-SBAT30-EM/I0128","QC FG","JADWAL BARU","1","(not set)","2023-06-19","2023-06-21","Emina Sun Battle SPF 30 PA+++ 60 ml","Processing","Done","SS-SBAT30-EM","FJ19B",""
"20","MO-HBW-EB-BULK/I0032","HBW-NFSEBW-KA/I0001","HBW-NFSEBW-KA/I0001","QC FG","JADWAL BARU","1","(not set)","2023-06-26","2023-06-27","NFS Kahf Brightening and Cooling Body Wash 15 ML","Processing","Done","HBW-NFSEBW-KA","(not set)",""
"21","MO-SS-SBAS-BULK/I0004","SS-SBAS-EM/I0004","SS-SBAS-EM/I0004","QC FG","JADWAL BARU","1","(not set)","2023-05-27","2023-05-31","Emina Sun Battle SPF 50 PA++++ Cica Acne Fighter Sunscreen 30 ml","Processing","Done","SS-SBAS-EM","EJ29A",""
"22","MO-SS-RSBBP-BULK/I0001","SS-RSBBP-EM/I0001","SS-RSBBP-EM/I0001","QC FG","JADWAL BARU","1","(not set)","2023-07-10","2023-07-12","Emina Sun Battle SPF 30 PA+++ Revamp 60 ml","Processing","Done","SS-RSBBP-EM","GJ11A",""
"23","MO-SS-SB50-BULK/I0005","SS-SB50-EM/I0005","SS-SB50-EM/I0005","QC FG","JADWAL BARU","1","(not set)","2023-06-21","2023-06-26","Emina Sun Battle SPF 50 PA++++ Barrier Hydraburst Sunscreen 30 ml","Processing","Done","SS-SB50-EM","FJ21A",""
"24","MO-BBC-RL02-BULK/I0002","BBC-RL02N1-W/I0002","BBC-RL02N1-W/I0002","QC FG","JADWAL BARU","1","(not set)","2023-06-05","2023-06-13","Wardah Lightening Fresh BB Tint 02 Light Ivory (22N) 30 ml","Processing","Done","BBC-RL02N1-W","FJ06A",""
"25","MO-MA-MSAR-BULK/I0003","MA-MSAR-W/BSI0002","MA-MSAR-W/BSI0002","QC FG","JADWAL BARU","1","(not set)","2023-06-19","2023-06-26","Wardah Acnederm SuperSerum Mask 20 ml","Processing","Done","MA-MSAR-W","(not set)",""
"26","MO-MA-MSCD-BULK/I0003","MA-MSCDP-W/BSI0003","MA-MSCDP-W/BSI0003","QC FG","JADWAL BARU","1","(not set)","2023-05-25","2023-05-31","Wardah C-defense SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSCDP-W","(not set)",""
"27","MO-MA-MSCD-BULK/I0004","MA-MSCDP-W/I0003","MA-MSCDP-W/I0003","QC FG","JADWAL BARU","3","(not set)","2023-06-24","2023-06-27","Wardah C-defense SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSCDP-W","FJ24A",""
"28","MO-MA-MSL-BULK/I0013","MA-MSLP-W/BSI0001","MA-MSLP-W/BSI0001","QC FG","JADWAL BARU","1","(not set)","2023-06-19","2023-06-26","Wardah Lightening SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSLP-W","(not set)",""
"29","MO-MA-MSL-BULK/I0013","MA-MSLP-W/I0003","MA-MSLP-W/I0003","QC FG","JADWAL BARU","3","(not set)","2023-05-22","2023-05-25","Wardah Lightening SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSLP-W","EJ22A",""
"30","MO-MA-MSPB-BULK/I0002","MA-MSPBP-W/BSI0003","MA-MSPBP-W/BSI0003","QC FG","JADWAL BARU","1","(not set)","2023-05-25","2023-05-31","Wardah Perfect Bright SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSPBP-W","(not set)",""
"31","MO-MA-MSPB-BULK/I0003","MA-MSPBP-W/I0003","MA-MSPBP-W/I0003","QC FG","JADWAL BARU","1","(not set)","2023-06-26","2023-07-01","Wardah Perfect Bright SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSPBP-W","FJ25A",""
"32","MO-M-AOSM-BULK/I0002","M-AOSM-KA/I0002","M-AOSM-KA/I0002","QC FG","JADWAL BARU","1","(not set)","2023-06-03","2023-06-07","Kahf Acne and Oil Control Sunscreen Moisturizer 30 ml","Processing","Done","M-AOSM-KA","FJ05A",""
"33","MO-M-AOSM-BULK/I0003","M-AOSM-KA/I0003","M-AOSM-KA/I0003","QC FG","JADWAL BARU","1","(not set)","2023-07-01","2023-07-04","Kahf Triple+ Protection Sunscreen Moisturizer 30 ml","Processing","Done","M-AOSM-KA","GJ03A",""
"34","MO-M-BRERMC-BULK/I0030","M-BRERMCNP-L/I0003","M-BRERMCNP-L/I0003","QC FG","JADWAL BARU","1","(not set)","2023-05-30","2023-06-03","LABORE Sensitive Skin Care BiomeRepair Barrier Revive Cream 10 ml &lt;SFG&gt;","Processing","Done","M-BRERMCNP-L","EJ30A",""
"35","MO-BP-WSEDT-BULK/I0015","BP-WSEDT-KA/I0012","BP-WSEDT-KA/I0012","QC FG","JADWAL BARU","1","(not set)","2023-06-12","2023-06-14","Kahf True Brotherhood Eau de Toilette 35 ml","Processing","Done","BP-WSEDT-KA","FJ13A",""
"36","MO-M-R2PBSPF30-BULK/I0001","M-R2PBSPF30-W/I0001","M-R2PBSPF30-W/I0001","QC FG","JADWAL BARU","1","(not set)","2023-05-16","2023-05-19","Wardah Perfect Bright Moisturizer Bright + Oil Control SPF 30 PA+++ 20 ml (IMPROVEMENT)","Processing","Done","M-R2PBSPF30-W","EJ17A",""
"37","MO-FT-KFT-BULK/I0034","FT-NFSKFT-KA/I0001","FT-NFSKFT-KA/I0001","QC FG","JADWAL BARU","1","(not set)","2023-05-25","2023-05-25","NFS Kahf All-in-One Power Toning Face Spray 5 ml","Processing","Done","FT-NFSKFT-KA","(not set)",""
"38","MO-M-RHDG-BULK/I0019","M-RHDGN3-W/I0003","M-RHDGN3-W/I0003","QC FG","JADWAL BARU","1","(not set)","2023-05-26","2023-05-30","Wardah Hydra Rose Dewy Aqua Day Gel 8 ml &lt;SFG&gt;","Processing","Done","M-RHDGN3-W","EJ26A",""
"39","MO-FT-RIHTN3-BULK/I0001","FT-RIHTN3-W/BSI0001","FT-RIHTN3-W/BSI0001","QC FG","JADWAL BARU","1","(not set)","2023-05-22","2023-05-23","Wardah Hydra Rose Petal Infused Toner 30 ml","Processing","Done","FT-RIHTN3-W","(not set)",""
"40","MO-M-RWSDC-BULK/I0027","M-RWSDCNP-W/I0004","M-RWSDCNP-W/I0004","QC FG","JADWAL BARU","1","(not set)","2023-06-03","2023-06-06","Wardah Crystal Secret Brightening Day Cream 9 ml &lt;SFG&gt;","Processing","Done","M-RWSDCNP-W","FJ02A",""
"41","MO-FW-GS-BULK/I0004","FW-GSNP-L/I0003","FW-GSNP-L/I0003","QC FG","JADWAL BARU","1","(not set)","2023-05-30","2023-06-05","LABORE Sensitive Skin Care GentleBiome Mild Cleanser 15 ml &lt;SFG&gt;","Processing","Done","FW-GSNP-L","EJ30A",""
"42","MO-FW-NSCB-BULK/I0004","FW-NSCB-KA/I0004","FW-NSCB-KA/I0004","QC FG","JADWAL BARU","1","(not set)","2023-05-19","2023-05-20","Kahf Cooling and Brightening Face Wash 100 ml","Processing","Done","FW-NSCB-KA","EJ19A",""
"43","MO-BP-RHEDT-BULK/I0031","BP-NFSRHEDT-KA/I0001","BP-NFSRHEDT-KA/I0001","QC FG","JADWAL BARU","1","(not set)","2023-07-11","2023-07-13","NFS Kahf Revered Oud Eau De Toilette 3 ml","Processing","Done","BP-NFSRHEDT-KA","(not set)",""
"44","MO-FW-NSCB-BULK/I0005","FW-NSCB-KA/I0005","FW-NSCB-KA/I0005","QC FG","JADWAL BARU","2","(not set)","2023-06-02","2023-06-05","Kahf Cooling and Brightening Face Wash 100 ml","Processing","Done","FW-NSCB-KA","FJ03A",""
"45","MO-FW-NSCB-BULK/I0008","FW-NSCB-KA/I0008","FW-NSCB-KA/I0008","QC FG","JADWAL BARU","1","(not set)","2023-06-17","2023-06-19","Kahf Cooling and Brightening Face Wash 100 ml","Processing","Done","FW-NSCB-KA","FJ17B",""
"46","MO-BP-RHEDT-BULK/I0025","BP-RHEDT-KA/I0019","BP-RHEDT-KA/I0019","QC FG","JADWAL BARU","1","(not set)","2023-06-12","2023-06-13","Kahf Revered Oud Eau de Toilette 35 ml","Processing","Done","BP-RHEDT-KA","FJ13A",""
"47","MO-BP-MOEDP-BULK/I0003","BP-MOEDP-KA/I0003","BP-MOEDP-KA/I0003","QC FG","JADWAL BARU","1","(not set)","2023-06-10","2023-06-13","Kahf Saffron Oud Eau de Parfum 100 ml","Processing","Done","BP-MOEDP-KA","FJ12A",""
"48","MO-BP-IWEDT-BULK/I0019","BP-IWEDT-KA/I0016","BP-IWEDT-KA/I0016","QC FG","JADWAL BARU","1","(not set)","2023-06-12","2023-06-13","Kahf Invigorating Waterfall Eau de Toilette 35 ml","Processing","Done","BP-IWEDT-KA","FJ12A",""
"49","MO-CON-RLBBL02-BULK/I0001","CON-RLBBL02-W/I0001","CON-RLBBL02-W/I0001","QC FG","JADWAL BARU","1","(not set)","2023-05-19","2023-06-05","Wardah Lightening Liquid Concealer 02 Neutral Beige (32N) 6 gr","Processing","Done","CON-RLBBL02-W","EJ20A",""
"50","MO-BP-RHEDP-BULK/I0008","BP-RHEDP-KA/I0008","BP-RHEDP-KA/I0008","QC FG","JADWAL BARU","1","(not set)","2023-06-10","2023-06-13","Kahf Revered Oud Eau de Parfum 100 ml","Processing","Done","BP-RHEDP-KA","FJ12A",""
"51","MO-HWB-EBSSSP-BULK/I0001","HWB-EBSSSP-WL/I0001","HWB-EBSSSP-WL/I0001","QC FG","JADWAL BARU","1","(not set)","2023-05-29","2023-06-02","Wonderly Brightening Exfoliating Body Wash Mode 315 ml","Processing","Done","HWB-EBSSSP-WL","EJ30A",""
"52","(not set)","FW-RHMFN2-W/I0004","FW-RHMFN2-W/I0004","QC FG","JADWAL BARU","1","(not set)","2023-05-22","2023-05-31","Wardah Hydra Rose Gel to Foam Cleanser 20 ml &lt;SFG&gt;","Processing","Done","FW-RHMFN2-W","(not set)",""
"53","MO-D-NSAP-BULK/I0005","D-NSAP-W/I0005","D-NSAP-W/I0005","QC FG","JADWAL BARU","1","(not set)","2023-06-12","2023-06-14","Wardah Anti-Perspirant Deodorant 60 ml","Processing","Done","D-NSAP-W","FJ12A",""
"54","MO-D-NSDH-BULK/I0004","D-NSDH-KA/I0004","D-NSDH-KA/I0004","QC FG","JADWAL BARU","1","(not set)","2023-05-31","2023-06-03","Kahf Comforting Antiperspirant Deodorant 50 ml","Processing","Done","D-NSDH-KA","FJ01A",""
"55","MO-REM-AMC-BULK/I0002","REM-AMC-W/I0002","REM-AMC-W/I0002","QC FG","JADWAL BARU","1","(not set)","2023-05-27","2023-06-12","Wardah Acnederm Acne Care Micellar Water 100 ml","Processing","Done","REM-AMC-W","EJ29A",""
"56","MO-D-NSDH-BULK/I0007","D-NSDH-KA/I0007","D-NSDH-KA/I0007","QC FG","JADWAL BARU","1","(not set)","2023-07-11","2023-07-14","Kahf Comforting Antiperspirant Deodorant 50 ml","Processing","Done","D-NSDH-KA","GJ12A",""
"57","MO-L-NLCE-BULK/I0017","L-NLCE-EM/I0017","L-NLCE-EM/I0017","PENGOLAHAN","OLAH 1","2","2023-07-14 07:11:00+07","2023-07-12","2023-07-17","Emina Poppin’ Matte 05 Easy Peasy 4.5 g","Processing","(not set)","L-NLCE-EM","GJ13A",""
"58","MO-L-MLCE-BULK/I0040","L-MLCE-OMG/I0039","L-MLCE-OMG/I0039","PENGOLAHAN","OLAH 1","2","2023-07-14 07:05:00+07","2023-07-10","2023-07-16","OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g","Processing","(not set)","L-MLCE-OMG","GJ14A",""
"59","MO-L-GS09-BULK/I0004","L-GS09-EM/I0004","L-GS09-EM/I0004","PENGOLAHAN","OLAH 2","1","2023-07-14 07:04:00+07","2023-07-13","2023-07-17","Emina Glossy Stain 09 Red Bean 3 g","Next Process","(not set)","L-GS09-EM","GJ14A",""
"60","MO-L-CUMKORE-BULK/I0032","L-CUMKORE-W/I0032","L-CUMKORE-W/I0032","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 07:00:00+07","2023-06-26","2023-07-16","Wardah Colorfit Ultralight Matte Lipstick 13 Upbeat Hongdae 3.6 g","Next Process","(not set)","L-CUMKORE-W","GJ13A",""
"61","MO-L-LTD-BULK/I0014","L-LTD-OMG/I0014","L-LTD-OMG/I0014","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:59:00+07","2023-07-11","2023-07-14","OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum","Next Process","(not set)","L-LTD-OMG","GJ11A",""
"62","MO-L-MLCD-BULK/I0033","L-MLCD-OMG/I0032","L-MLCD-OMG/I0032","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:58:00+07","2023-07-10","2023-07-16","OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g","Next Process","(not set)","L-MLCD-OMG","GJ12A",""
"63","MO-L-MLCI-BULK/I0062","L-MLCI-OMG/I0061","L-MLCI-OMG/I0061","KEMAS_2","FILLING-PACKING_INLINE","2","2023-07-14 06:58:00+07","2023-07-10","2023-07-15","OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g","Next Process","(not set)","L-MLCI-OMG","GJ12A",""
"64","MO-FW-RPBCFLS-BULK/I0072","FW-RPBCFLS100-W/I0042","FW-RPBCFLS100-W/I0042","PENGOLAHAN","OLAH 2","1","2023-07-14 06:57:00+07","2023-07-17","2023-08-02","Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 100 ml","Next Process","(not set)","FW-RPBCFLS100-W","GJ13A",""
"65","MO-BBC-LL-BULK/I0015","BBC-LL-W15ML/I0010","BBC-LL-W15ML/I0010","PENGOLAHAN","OLAH 2","2","2023-07-14 06:56:00+07","2023-07-10","2023-07-26","Wardah Lightening BB Cream Light 15 ml (pc(s))","Next Process","(not set)","BBC-LL-W15ML","GJ13A",""
"66","MO-FT-NDATE-BULK/I0024","FT-NDATE-W/I0024","FT-NDATE-W/I0024","PENGOLAHAN","OLAH 1","1","2023-07-14 06:56:00+07","2023-07-03","2023-07-19","Wardah Nature Daily Aloe Hydramild Essence Toner 100 ml","Next Process","(not set)","FT-NDATE-W","GJ14A",""
"67","MO-M-RPHAG-BULK/I0008","M-RPHAG-EM/I0008","M-RPHAG-EM/I0008","PENGOLAHAN","OLAH 1","1","2023-07-14 06:56:00+07","2023-07-17","2023-08-02","Emina Ms. Pimple Acne Solution Moisturizing Gel 20 ml","Next Process","(not set)","M-RPHAG-EM","GJ14A",""
"68","MO-FW-RRYAG-BULK/I0039","FW-RRYAG-W/I0034","FW-RRYAG-W/I0034","PENGOLAHAN","OLAH 2","1","2023-07-14 06:55:00+07","2023-07-17","2023-08-02","Wardah Renew You Facial Wash 100 ml (Pc(s))","Next Process","(not set)","FW-RRYAG-W","GJ14A",""
"69","MO-L-PTMC05-BULK/I0017","L-PTMC05-MO/I0017","L-PTMC05-MO/I0017","PENGOLAHAN","OLAH 2","1","2023-07-14 06:55:00+07","2023-07-10","2023-07-13","MAKE OVER Powerstay Transferproof Matte Lip Cream B05 Fired Up 7 g","Next Process","(not set)","L-PTMC05-MO","GJ11A",""
"70","MO-FMI-CDFM-BULK/I0032","FMI-CDFM-W55ML/I0016","FMI-CDFM-W55ML/I0016","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:54:00+07","2023-07-03","2023-07-19","Wardah C-Defense Face Mist 55 ml (Pc(s))","Next Process","(not set)","FMI-CDFM-W55ML","GJ13A",""
"71","MO-LT-CR01-BULK/I0025","LT-CR01-EM/I0023","LT-CR01-EM/I0023","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:54:00+07","2023-06-26","2023-07-16","Emina Creamytint 01 Brick Town 3.6 g","Next Process","(not set)","LT-CR01-EM","GJ13A",""
"72","MO-BO-MMB05-BULK/I0024","BO-MMB05-MO/I0024","BO-MMB05-MO/I0024","PENGOLAHAN","OLAH 1","1","2023-07-14 06:54:00+07","2023-06-05","2023-07-16","MAKE OVER Multifix Matte Blusher 05 Heatshot 9 g","Next Process","(not set)","BO-MMB05-MO","GJ14A",""
"73","MO-L-EMCD-BULK/I0013","L-EMCD-W/I0013","L-EMCD-W/I0013","PENGOLAHAN","OLAH 2","1","2023-07-14 06:54:00+07","2023-07-12","2023-07-14","Wardah Exclusive Matte Lip Cream 22 Rouge Velvet 4 g","Next Process","(not set)","L-EMCD-W","GJ12A",""
"74","MO-FW-PCSRB-BULK/I0194","FW-PCSRB-KA/I0189","FW-PCSRB-KA/I0189","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:53:00+07","2023-07-03","2023-07-19","Kahf Skin Energizing and Brightening Face Wash 100 ml","Next Process","(not set)","FW-PCSRB-KA","GJ13A",""
"75","MO-FS-RLN2-BULK/I0052","FS-RLN2-W/I0037","FS-RLN2-W/I0037","KEMAS_2","PACKING","2","2023-07-14 06:53:00+07","2023-07-03","2023-07-19","Wardah Lightening Gentle Exfoliator 50 ml","Next Process","(not set)","FS-RLN2-W","GJ12A",""
"76","MO-FW-BS-BULK/I0158","FW-BS-EM50ML/I0074","FW-BS-EM50ML/I0074","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:53:00+07","2023-07-10","2023-07-26","Emina Bright Stuff Face Wash 50 ml","Next Process","(not set)","FW-BS-EM50ML","GJ13A",""
"77","MO-SS-UVSDSIF-BULK/I0011","SS-UVSDSIF-W/I0011","SS-UVSDSIF-W/I0011","PENGOLAHAN","OLAH 2","1","2023-07-14 06:53:00+07","2023-07-10","2023-07-26","Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++ 40 ml","Next Process","(not set)","SS-UVSDSIF-W","GJ14A",""
"78","MO-L-SLWCG-BULK/I0013","L-SLWCG-W/I0012","L-SLWCG-W/I0012","PENIMBANGAN","JADWAL BARU","1","2023-07-14 06:52:00+07","2023-07-13","2023-07-17","Wardah Colorfit Last All Day Lip Paint 01 Peach Till Drop 4.2 g","Next Process","Done","L-SLWCG-W","(not set)",""
"79","MO-CUS-IPE-BULK/I0005","CUS-REFIPRVE-W/I0001","CUS-REFIPRVE-W/I0001","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:51:00+07","2023-07-12","2023-07-14","Instaperfect Refill Skincover Air Cushion 43 Creme Sand 11 g","Next Process","(not set)","CUS-REFIPRVE-W","GJ12A",""
"80","MO-L-RRIPLMP04-BULK/I0004","L-RRIPLMP04-W/I0004","L-RRIPLMP04-W/I0004","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:50:00+07","2023-07-11","2023-07-13","Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g","Next Process","(not set)","L-RRIPLMP04-W","GJ07A",""
"81","MO-CM-LCC-BULK/I0040","CM-LCC-W/I0040","CM-LCC-W/I0040","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:50:00+07","2023-07-10","2023-07-26","Wardah Lightening Cleansing Milk 100 ml","Next Process","(not set)","CM-LCC-W","GJ13A",""
"82","MO-FW-RHMF-BULK/I0031","FW-RHMF-W/I0027","FW-RHMF-W/I0027","PENIMBANGAN","JADWAL BARU","1","2023-07-14 06:50:00+07","2023-07-17","2023-08-02","Wardah Hydra Rose Gel to Foam cleanser 100 ml","Next Process","(not set)","FW-RHMF-W","(not set)",""
"83","MO-B-CLCLPC-BULK/I0052","B-CLCLPC-W/I0052","B-CLCLPC-W/I0052","PENGOLAHAN","OLAH 1","1","2023-07-14 06:47:00+07","2023-07-05","2023-07-18","Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g","Next Process","(not set)","B-CLCLPC-W","GJ14A",""
"84","MO-FW-BS-BULK/I0164","FW-BSN2-EM/I0080","FW-BSN2-EM/I0080","PENIMBANGAN","JADWAL BARU","2","2023-07-14 06:44:00+07","2023-07-17","2023-08-02","Emina Bright Stuff Face Wash 100 ml","Next Process","(not set)","FW-BSN2-EM","(not set)",""
"85","MO-L-CUSH06-BULK/I0004","L-CUSH06-EM/I0004","L-CUSH06-EM/I0004","KEMAS_2","FILLING-PACKING_INLINE","1","2023-07-14 06:42:00+07","2023-07-11","2023-07-14","Emina Lip Cushion 06. Coffee Please 9 g","Next Process","(not set)","L-CUSH06-EM","GJ12A",""
"86","MO-L-CVM012-BULK/I0017","L-CVM012-W/I0017","L-CVM012-W/I0017","QC FG","JADWAL BARU","1","2023-07-14 06:37:34+07","2023-06-26","2023-07-16","Wardah Colorfit Velvet Matte Lip Mousse 12 Chic Terracotta 4 g","Next Process","Done","L-CVM012-W","GJ11A",""
"87","MO-LB-STSPB-BULK/I0034","LB-STSPB-EM/I0034","LB-STSPB-EM/I0034","QC FG","JADWAL BARU","1","2023-07-14 06:37:16+07","2023-06-12","2023-07-16","Emina Oh So Kissable Tinted Balm Stick Pink Bonbons 3.4 g","Next Process","Done","LB-STSPB-EM","GJ12A",""
"88","MO-L-SMULMB-BULK/I0022","L-SMULMB-EM/I0018","L-SMULMB-EM/I0018","QC FG","JADWAL BARU","1","2023-07-14 06:37:07+07","2023-07-08","2023-07-12","Emina Squeeze Me Up Lip Matte 02 Bake a Cookie 6.5 g","Next Process","Done","L-SMULMB-EM","GJ10A",""
"89","MO-L-MLCR-BULK/I0006","L-MLCR-OMG/I0006","L-MLCR-OMG/I0006","KEMAS_1","FILLING","1","2023-07-14 06:37:00+07","2023-07-12","2023-07-13","OMG OH MY GLAM Matte Kiss Lip Cream Socialite Edition 18 Luxe 3.5 g","Processing","(not set)","L-MLCR-OMG","GJ13A",""
"90","MO-F-CLCMB-BULK/I0009","F-CLCMB-W/I0009","F-CLCMB-W/I0009","KEMAS_2","PACKING","2","2023-07-14 06:34:00+07","2023-07-10","2023-07-14","Wardah Colorfit Matte Foundation 22N Light Ivory 25 ml","Next Process","(not set)","F-CLCMB-W","GJ10A",""
"91","MO-LB-SLN-BULK/I0010","LB-SLN-EM3.7GR/I0010","LB-SLN-EM3.7GR/I0010","QC FG","JADWAL BARU","1","2023-07-14 06:33:49+07","2023-07-10","2023-07-14","Emina Smoochies Lip Balm Lemonade 3.7 gr (Pc(s))","Next Process","Done","LB-SLN-EM3.7GR","GJ12A",""
