"Korporat Code","Previous Korporat Code","Transition Status","Batch Split","Production Start Date","Production End Date","Purchase Start Date","Purchase End Date","Supplier Text","Previous Supplier Text","State"
"DUS-BWMMLPR5-E","DUS-BWMMLPR4-EILD","Immediately","yes","2021-12-27","","2021-07-26","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-CADLP01R1-W","DUS-CADLP01R0-W","Flow Through","no","2021-12-27","","2021-11-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP02R1-W","DUS-CADLP02R0-W","Flow Through","no","2021-12-27","","2021-11-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP03R1-W","DUS-CADLP03R0-W","Flow Through","no","2021-12-27","","2021-11-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP04R1-W","DUS-CADLP04R0-W","Flow Through","no","2021-12-27","","2021-09-20","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP05R1-W","DUS-CADLP05R0-W","Flow Through","no","2021-12-27","","2021-09-24","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP06R1-W","DUS-CADLP06R0-W","Flow Through","no","2021-12-27","","2021-11-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP07R1-W","DUS-CADLP07R0-W","Flow Through","no","2021-12-27","","2021-11-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP08R1-W","DUS-CADLP08R0-W","Flow Through","no","2021-12-27","","2021-11-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP09R1-W","DUS-CADLP09R0-W","Flow Through","no","2021-12-27","","2021-09-20","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP10R1-W","DUS-CADLP10R0-W","Flow Through","no","2021-12-27","","2021-09-20","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP11R1-W","DUS-CADLP11R0-W","Flow Through","no","2021-12-27","","2021-09-20","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CADLP12R1-W","DUS-CADLP12R0-W","Flow Through","no","2021-12-27","","2021-09-20","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CCFCMOR1-MO","DUS-CCFCMOI30-3151LG","Flow Through","no","","","2022-07-20","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CDDDCL20R2-W","DUS-CDDDCL20R1-W","Immediately","no","2021-12-27","","2021-06-17","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","","Draft"
"DUS-CDDDCN20R2-W","DUS-CDDDCN20R1-W","Immediately","no","2021-12-27","","2021-06-17","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CLBPER1-E","DUS-CLBPER0-E","Flow Through","no","","","2022-07-20","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CLBPIR1-E","DUS-CLBPIR0-E","Flow Through","no","","","2022-07-20","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CLHNTR1-E","DUS-CLHNTR0-E","Flow Through","no","","","","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMABR1-E","DUS-CMABR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMBBR1-E","DUS-CMBBR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMBFR1-E","DUS-CMBFR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMCCR2-E","DUS-CMCCR1-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMCPR1-E","DUS-CMCPR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMFBR2-E","DUS-CMFBR1-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMFMR2-E","DUS-CMFMR1-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMFWR2-E","DUS-CMFWR1-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMGAR1-E","DUS-CMGAR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMJBR2-E","DUS-CMJBR1-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMMVR2-E","DUS-CMMVR1-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMPPR1-E","DUS-CMPPR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMPR1-W","DUS-CMPR0-W","Flow Through","yes","","","2022-02-16","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMPSR1-E","DUS-CMPSR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMSFR1-E","DUS-CMSFR0-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CMTWR2-E","DUS-CMTWR1-EILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CRGFHR0-MO","BOX-CSMRGFHR0-MO","Interchangeable","yes","","","2022-04-08","","ADHINATA KARYA, PT","ADHINATA KARYA, PT","Draft"
"DUS-CSBANC15R2-W","DUS-CSBANC15R1-W","Flow Through","yes","2021-12-27","","2021-09-21","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSBANC30R1-W","DUS-CSBANC30-W","Flow Through","yes","2021-12-27","","2021-06-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSBANC30R2-W","DUS-CSBANC30R1-W","Flow Through","yes","2021-12-27","","2021-09-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSBDC15R1-W","DUS-CSBDC15-W","Flow Through","yes","2021-12-27","","2021-06-09","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSBDC15R2-W","DUS-CSBDC15R1-W","Flow Through","yes","2021-12-27","","2021-08-30","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSBDC30R1-W","DUS-CSBDC30-W","Flow Through","yes","2021-12-27","","2021-06-09","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSBDC30R2-W","DUS-CSBDC30R1-W","Flow Through","yes","2021-12-27","","2021-09-30","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSDSBS20R1-W","DUS-CSDSBS20-W","Flow Through","yes","2021-12-27","","2021-06-25","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSDSBS20R2-W","DUS-CSDSBS20R1-W","Flow Through","yes","2021-12-27","","2021-09-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSEDCC10R1-W","DUS-CSEDCC10-W","Flow Through","yes","2021-12-27","","2021-06-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSET125R1-W","DUS-CSET125-W","Flow Through","yes","2021-12-27","","2021-06-09","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSPTE100R1-W","DUS-CSPTE100-W","Flow Through","yes","2021-12-27","","2021-06-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSPTE50R1-W","DUS-CSPTE50-W","Flow Through","yes","2021-12-27","","2021-06-09","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSRDG15R1-W","DUS-CSRDG15-W","Flow Through","yes","2021-12-27","","2021-06-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSRDG15R2-W","DUS-CSRDG15R1-W","Flow Through","yes","2021-12-27","","2021-09-09","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSRDG30R1-W","DUS-CSRDG30-W","Flow Through","yes","2021-12-27","","2021-06-23","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CSRDG30R2-W","DUS-CSRDG30R1-W","Flow Through","yes","2021-12-27","","2021-09-22","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CT01R1-E","DUS-CT1R0-E","Flow Through","yes","","","2022-06-09","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CT02R1-E","DUS-CT2R0-E","Flow Through","yes","","","2022-06-09","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CT03R1-E","DUS-CT3R0-E","Flow Through","yes","","","2022-06-09","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CT04R1-E","DUS-CT4R0-E","Flow Through","yes","","","2022-06-09","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CT05R1-E","DUS-CT5R0-E","Flow Through","yes","","","2022-06-09","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA, CV; KALINGGA JAYA PRIMA, PT","Draft"
"DUS-CTKR1-W","DUS-CTKR0-W","Immediately","no","2021-12-27","","2021-08-27","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-CULML10R1-W","DUS-CULML10R0-W","Immediately","no","2021-12-27","","2021-09-28","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML11R1-W","DUS-CULML11R0-W","Immediately","no","2021-12-27","","2021-09-28","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML12R1-W","DUS-CULML12R0-W","Immediately","no","2021-12-27","","2021-09-28","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML13R1-W","DUS-CULML13R0-W","Immediately","no","2021-12-27","","2021-09-28","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML1R1-W","DUS-CULML1R0-W","Immediately","no","2021-12-27","","2021-09-27","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML2R1-W","DUS-CULML2R0-W","Immediately","no","2021-12-27","","2021-09-27","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML3R1-W","DUS-CULML3R0-W","Immediately","no","2021-12-27","","2021-09-27","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML4R1-W","DUS-CULML4R0-W","Immediately","no","2021-12-27","","2021-09-27","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML5R1-W","DUS-CULML5R0-W","Immediately","no","2021-12-27","","2021-09-09","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML6R1-W","DUS-CULML6R0-W","Immediately","no","2021-12-27","","2021-09-28","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML7R1-W","DUS-CULML7R0-W","Immediately","no","2021-12-27","","2021-09-28","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML8R1-W","DUS-CULML8R0-W","Immediately","no","2021-12-27","","2021-09-09","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-CULML9R1-W","DUS-CULML9R0-W","Immediately","no","2021-12-27","","2021-09-28","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-DMCPR1-E","DUS-DMCPR0-E","Flow Through","no","","","2022-02-16","","KALINGGA JAYA PRIMA, PT","","Draft"
"DUS-DMLP01R2-E","DUS-DMLPR1-EILG","Immediately","yes","2021-12-27","","2021-06-17","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-DMLP02R2-E","DUS-DMLPR1-EILG","Immediately","yes","2021-12-27","","2021-06-17","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Confirmed"
"DUS-EBPMOR2-MO","DUS-EBPMOI253-16LGP","Immediately","no","","","","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-EDTBR1-WILD","DUS-EDTBR0-WILD","Immediately","no","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-EDTJR1-WILD","DUS-EDTJR0-WILD","Immediately","no","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-EDTPCR1-WILD","DUS-EDTPCR0-WILD","Immediately","no","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-EDTPRR1-WILD","DUS-EDTPRR0-WILD","Immediately","no","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-EDTPSR1-WILD","DUS-EDTPSR0-WILD","Immediately","no","","","","","","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-EFCC01R3-W","DUS-EFCC01R2-W","Immediately","no","","","","","PURA BARUTAMA, PT (OFFSET)","PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-EFCC02R3-W","DUS-EFCC02R2-W","Immediately","no","","","","","PURA BARUTAMA, PT (OFFSET)","PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-EFCC03R3-W","DUS-EFCC03R2-W","Immediately","no","","","","","PURA BARUTAMA, PT (OFFSET)","PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-EFCC04R3-W","DUS-EFCC04R2-W","Immediately","no","","","","","PURA BARUTAMA, PT (OFFSET)","PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-EFCC05R1-W","DUS-EFCC05R0-W","Immediately","no","","","","","PURA BARUTAMA, PT (OFFSET)","PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-EFCC06R1-W","DUS-EFCC06R0-W","Immediately","no","","","","","PURA BARUTAMA, PT (OFFSET)","PURA BARUTAMA, PT (OFFSET)","Draft"
"DUS-ELCP01R1-W","DUS-ELCP01R0-WILG","Flow Through","no","","","2022-08-31","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ELCP02R1-W","DUS-ELCP02R0-WILG","Flow Through","no","","","2022-08-31","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ELCP03R1-W","DUS-ELCP03R0-WILG","Flow Through","no","","","2022-08-31","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ELCP04R1-W","DUS-ELCP04R0-WILG","Flow Through","no","","","2022-08-31","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ELFP01R2-W","DUS-ELFP01R1-WILG","Flow Through","no","2021-12-27","","2021-11-17","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ELFP02R2-W","DUS-ELFP02R1-WILG","Flow Through","no","2021-12-27","","2021-11-17","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ELTWC01R2-WILG","DUS-ELTWC01R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ELTWC02R2-WILG","DUS-ELTWC02R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ELTWC03R2-WILG","DUS-ELTWC03R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ELTWC04R2-WILG","DUS-ELTWC04R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ELTWCR1R2-WILG","DUS-ELTWCR1R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ELTWCR2R2-WILG","DUS-ELTWCR2R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ELTWCR3R2-WILG","DUS-ELTWCR3R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ELTWCR4R2-WILG","DUS-ELTWCR4R1-WILG","Flow Through","no","2021-12-27","","2021-07-22","","INDAH KENCANA, CV","INDAH KENCANA, CV","Confirmed"
"DUS-ESPNR1-MO","DUS-ESPNR0-MOILD","Immediately","no","","","2022-02-09","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ESPSR1-MO","DUS-ESPSR0-MOILD","Immediately","no","","","2022-02-09","","INDAH KENCANA, CV","INDAH KENCANA, CV","Draft"
"DUS-ETWC1R3-W","DUS-ETWC1R2-WRL","Immediately","no","2021-12-27","","2021-12-21","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-ETWC2R3-W","DUS-ETWC2R2-WRL","Immediately","no","2021-12-27","","2021-11-29","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-ETWCR2R3-W","DUS-ETWCR2R2-WRL","Immediately","no","2021-12-27","","2021-12-02","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-ETWCR3R3-W","DUS-ETWCR3R2-WRL","Immediately","no","2021-12-27","","2021-12-02","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-ETWCR4R3-W","DUS-ETWCR4R2-WRL","Immediately","no","2021-12-27","","2021-12-02","","DNP INDONESIA, PT","DNP INDONESIA, PT","Draft"
"DUS-HLGCR1-MO","DUS-HLGCR0-MO","Immediately","no","2021-12-27","","2021-08-12","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-HRKR1-W","DUS-HRKR0-W","Immediately","no","","","","","PRINTINDO UTAMA, PT","PRINTINDO UTAMA, PT","Draft"
"DUS-IML01R2-W","DUS-IML01R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML02R2-W","DUS-IML02R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML03R2-W","DUS-IML03R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML04R2-W","DUS-IML04R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML05R2-W","DUS-IML05R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML06R2-W","DUS-IML06R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML07R2-W","DUS-IML07R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML08R2-W","DUS-IML08R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML09R2-W","DUS-IML09R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML10R2-W","DUS-IML10R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
"DUS-IML11R2-W","DUS-IML11R1-WILD","Flow Through","no","","","2022-04-07","","KALINGGA JAYA PRIMA, PT","KALINGGA JAYA PRIMA, PT; KALINGGA JAYA, CV","Draft"
