"Korporat Code","Factory","Lifecycle"
"EB-RDK02N2-MO","JTK01","new product"
"EB-DK-MO6,4G","JTK04","inactive"
"EYE-LS-MO","JTK06","to be discontinued"
"EL-PBJ-MO1,2G","JTK06","existing"
"EL-PBL-MO1,2G","JTK06","existing"
"EL-PCLG-MO1,2G","JTK06","inactive"
"EL-PGLG-MO1,2G","JTK06","inactive"
"EL-PGOG-MO1,2G","JTK06","inactive"
"EL-PNB-MO1,2G","JTK06","existing"
"EL-PNS-MO1.2G","JTK06","existing"
"P-ELPBJ-MO","JTK06","to be discontinued"
"P-ELPBL-MO","JTK06","inactive"
"P-ELPNB-MO","JTK06","inactive"
"P-ELPRB-MO","JTK06","inactive"
"EL-PPOP-MO1,2G","JTK06","inactive"
"EL-PROB-MO1,2G","JTK06","inactive"
"EL-PSL-MO1.2G","JTK06","existing"
"EL-PWT-MO1,2G","JTK06","existing"
"BRUS-EY-MO17CM","JTK06","inactive"
"ES-PNU-MO10G","JTK01","existing"
"ES-PSM-MO10G","JTK01","existing"
"EB-PBL-MO1,14G","JTK06","existing"
"EB-PBE-MO1,14G","JTK06","existing"
"ES-RTNN-01-BULK","JTK01","initial"
"ES-RTNN-02-BULK","JTK01","initial"
"ES-RTNN-03-BULK","JTK01","initial"
"TC-RFC-MO","JTK01","new product"
"TC-FC-MO14G","JTK01","existing"
"TC-RFC01-BULK","JTK01","initial"
"TC-RFC02-BULK","JTK01","initial"
"BRUS-FAN-MO","JTK06","to be discontinued"
"BRUS-FLF-MO","JTK06","to be discontinued"
"BRUS-FTF-MO17CM","JTK06","existing"
"EYE-GLS-MO","","initial"
"L-GIMC006-MO6,5G","JTK04","initial"
"L-GLRT-MO5ML","JTK04","initial"
"MA1-GU-MO7.5ML","","to be discontinued"
"L-PTG1-BULK","JTK02",""
"L-PTG2-BULK","JTK04",""
"L-PTG3-BULK","JTK02",""
"L-PTG4-BULK","JTK02",""
"L-PTG5-BULK","JTK02",""
"L-PTGL6-BULK","JTK02","initial"
"L-PTGL7-BULK","JTK02","initial"
"L-PTG1-MO","JTK02","new product"
"L-PTG2-MO","JTK02","new product"
"L-PTG3-MO","JTK02","new product"
"L-PTG4-MO","JTK02","new product"
"L-PTG5-MO","JTK02","new product"
"L-GB-MO3,8G","JTK04","inactive"
"L-GG-MO3,8G","JTK04","inactive"
"L-GS-MO3,8G","JTK04","inactive"
"FA-HSL1-MO2X3.5G","JTK06","inactive"
"FA-HSL2-MO2X3.5G","JTK06","inactive"
"FA-HSLS-MO2X3.5G","JTK06","inactive"
"FA-HSLM-MO2X3.5G","JTK06","inactive"
"FA-HSM-MO2X3.5G","JTK06","inactive"
"FA-HSMD-MO2X3.5G","JTK06","inactive"
"F-HGFC21-BULK","JTK02",""
"F-HGFC21-MO","JTK02","existing"
"F-HGFN10-BULK","JTK02",""
"F-HGFN10-MO","JTK02","existing"
"F-HGFN30-BULK","JTK02",""
"F-HGFN30-MO","JTK02","existing"
"F-HGFW50-BULK","JTK02",""
"F-HGFW50-MO","JTK02","existing"
"F-HGFW22-BULK","JTK02",""
"F-HGFW22-MO","JTK02","existing"
"F-HGFW33-BULK","JTK02",""
"F-HGFW33-MO","JTK02","existing"
"F-HGFW41-BULK","JTK02",""
"F-HGFW41-MO","JTK02","existing"
"F-HGFW42-BULK","JTK02",""
"F-HGFW42-MO","JTK02","existing"
"BO-HLT01-BULK","JTK02",""
"BO-HLT01-MO","JTK02","existing"
"BO-HLT02-BULK","JTK02",""
"BO-HLT02-MO","JTK02","existing"
"BO-HLT03-BULK","JTK02",""
"BO-HLT03-MO","JTK02","existing"
"BO-HLT04-BULK","JTK02",""
"BO-HLT04-MO","JTK02","existing"
"BO-HLT05-BULK","JTK02",""
"BO-HLT05-MO","JTK02","existing"
"CUS-HLGNC21-MO","JTK02","existing"
"CUS-HLGNC21-BULK","JTK02",""
"CUS-HLGCC31-BULK","JTK02",""
"CUS-HLGCC31-MO","JTK02","new product"
"CUS-HLGCC41-BULK","JTK02",""
"CUS-HLGCC41-MO","JTK02","new product"
"CUS-HLGCC51-BULK","JTK02",""
"CUS-HLGCC51-MO","JTK02","new product"
"CUS-HLGCC62-BULK","JTK02",""
"CUS-HLGCC62-MO","JTK02","new product"
"CUS-HLGN10-BULK","JTK02",""
"CUS-HLGN10-MO","JTK02","existing"
"CUS-HLGCN20-BULK","JTK02",""
"CUS-HLGCN20-MO","JTK02","new product"
"CUS-HLGNN30-MO","JTK02","existing"
"CUS-HLGNN30-BULK","JTK02",""
"CUS-HLGCN40-BULK","JTK02",""
"CUS-HLGCN40-MO","JTK02","new product"
"CUS-HLGNN50-MO","JTK02","existing"
"CUS-HLGNN50-BULK","JTK02",""
"CUS-HLGCW12-BULK","JTK02",""
"CUS-HLGCW12-MO","JTK02","new product"
"CUS-HLGCW21-BULK","JTK02",""
"CUS-HLGCW21-MO","JTK02","new product"
"CUS-HLGNW22-MO","JTK02","existing"
"CUS-HLGNW22-BULK","JTK02",""
"CUS-HLGCW30-BULK","JTK02",""
"CUS-HLGCW30-MO","JTK02","new product"
"CUS-HLGCW32-BULK","JTK02",""
"CUS-HLGCW32-MO","JTK02","new product"
"CUS-HLGNW33-MO","JTK02","existing"
"CUS-HLGNW33-BULK","JTK02",""
"CUS-HLGNW41-MO","JTK02","existing"
"CUS-HLGNW41-BULK","JTK02",""
"CUS-HLGNW42-BULK","JTK02",""
"CUS-HLGNW42-MO","JTK02","existing"
"CUS-HLGCW50-BULK","JTK02",""
"CUS-HLGCW50-MO","JTK02","new product"
"CUS-HLGCW60-BULK","JTK02",""
"CUS-HLGCW60-MO","JTK02","new product"
"B-HRFP-BULK","JTK01",""
"B-HRFP-MO","JTK01","existing"
"L-HSLWM-BULK","JTK04","initial"
"L-HSLWN-BULK","JTK04","initial"
"SRM-H-MO33ML","JTK02","existing"
"EL-HBS-MO1G","JTK06","existing"
"L-IMC001-BULK","JTK04",""
"L-IMC001-MO6,5G","JTK04","existing"
"L-RIMLC001-MO","JTK04","inactive"
"L-IMC002-BULK","JTK04",""
"L-IMC002-MO6,5G","JTK04","existing"
"L-RIMLC002-MO","JTK04","inactive"
"L-IMC003-BULK","JTK04",""
"L-IMC003-MO6,5G","JTK04","existing"
"L-RIMLC003-MO","JTK04","inactive"
"L-RIMC003-MO","JTK04","initial"
"L-IMC004-BULK","JTK04",""
"L-IMC004-MO6,5G","JTK04","existing"
"L-RIMLC004-MO","JTK04","inactive"
"L-RIMC004-MO","JTK04","initial"
"L-IMC005-BULK","JTK04",""
"L-IMC005-MO6,5G","JTK04","existing"
"L-RIMLC005-MO","JTK04","inactive"
"L-RIMC005-MO","JTK04","initial"
"L-IMC006-BULK","JTK04",""
"L-IMC006-MO6,5G","JTK04","existing"
"L-RIMLC006-MO","JTK04","inactive"
"L-IMC007-BULK","JTK04",""
"L-IMC007-MO6,5G","JTK04","existing"
"L-RIMLC007-MO","JTK04","inactive"
"L-IMC008-BULK","JTK04",""
"L-IMC008-MO6,5G","JTK04","existing"
"L-RIMLC008-MO","JTK04","inactive"
"L-RIMC008-MO","JTK04","initial"
"L-IMC009-BULK","JTK04",""
"L-IMC009-MO6,5G","JTK04","existing"
"L-RIMLC009-MO","JTK04","inactive"
"L-RIMC009-MO","JTK04","initial"
"L-IMC010-BULK","JTK04",""
"L-IMC010-MO6,5G","JTK04","existing"
"L-RIMLC010-MO","JTK04","inactive"
"L-IMC011-BULK","JTK04",""
"L-IMC011-MO6,5G","JTK04","existing"
"L-RIMLC011-MO","JTK04","inactive"
"L-RIMC011-MO","JTK04","initial"
"L-IMC012-BULK","JTK04",""
"L-IMC012-MO6,5G","JTK04","existing"
"L-RIMLC012-MO","JTK04","inactive"
"L-RIMC012-MO","JTK04","initial"
"L-IMC013-BULK","JTK04",""
"L-IMC013-MO6,5G","JTK04","existing"
"L-RIMLC013-MO","JTK04","inactive"
"L-RIMC013-MO","JTK04","initial"
"L-IMC014-BULK","JTK04",""
"L-IMC014-MO6,5G","JTK04","existing"
"L-RIMLC014-MO","JTK04","inactive"
"L-RIMC014-MO","JTK04","initial"
"L-IMC015-MO6,5G","JTK04","existing"
"L-RIMLC015-MO","JTK04","inactive"
"L-RIMC015-MO","JTK04","initial"
"L-IMC016-MO6,5G","JTK04","existing"
"L-RIMLC016-MO","JTK04","inactive"
"L-RIMC016-MO","JTK04","initial"
"L-IMC017-MO6,5G","JTK04","existing"
"L-RIMLC017-MO","JTK04","inactive"
"L-IMC018-MO6,5G","JTK04","existing"
"L-RIMLC018-MO","JTK04","inactive"
"L-RIMC018-MO","JTK04","initial"
"L-IMC019-MO6,5G","JTK04","existing"
"L-RIMLC019-MO","JTK04","inactive"
"L-RIMC019-MO","JTK04","initial"
"L-IMC020-MO6,5G","JTK04","existing"
"L-RIMLC020-MO","JTK04","inactive"
"L-IMC021-MO6,5G","JTK04","new product"
"L-IMC022-MO6,5G","JTK04","new product"
"L-RIMC023-MO","JTK04","initial"
"L-RIMC024-MO","JTK04","initial"
"L-RIMC025-MO","JTK04","initial"
"L-RIMC026-MO","JTK04","initial"
"L-RIMC027-MO","JTK04","initial"
"L-RIMC028-MO","JTK04","initial"
"L-RIMC029-MO","JTK04","initial"
"BRUS-KBK-MO8.5CM","JTK06","existing"
"REM-L-MO100ML","JTK02","inactive"
"L-LACL01-MO0.2G","JTK06","existing"
"L-LACL02-MO0.2G","JTK06","existing"
"L-LACL03-MO0.2G","JTK06","to be discontinued"
"L-LACL04-MO0.2G","JTK06","to be discontinued"
"L-LACL05-MO0.2G","JTK06","existing"
"L-PPP02-MO5X1,7G","JTK04","to be discontinued"
"L-PPP03-MO5X1,7G","JTK04","to be discontinued"
"L-PRR01-MO5X1,7G","JTK04","to be discontinued"
"L-P-MO5X1,7G","JTK04","to be discontinued"
"L-LLB-MO1,2G","JTK06","to be discontinued"
"L-LRJ-MO1,2 G","JTK06","to be discontinued"
"L-LSP-MO1,2 G","JTK06","to be discontinued"
"LB-M-MO3,8G","JTK04","existing"
"LB-OC-MO3,8G","JTK04","existing"
"LB-V-MO3,8G","JTK04","existing"
"L-PDN-MO2,29G","JTK06","to be discontinued"
"L-PDP-MO2,29G","JTK06","to be discontinued"
"L-PFR-MO2,29G","JTK06","to be discontinued"
"L-PMP-MO2,29G","JTK06","to be discontinued"
"L-PVB-MO2,29G","JTK06","to be discontinued"
"L-CLPC-BULK","JTK04",""
"EL-LB-MO1,7ML","JTK06","existing"
"PRM-LI-MO30ML","JTK02","new product"
"L-LBC-MO5ML","JTK04","to be discontinued"
"L-LBA-MO5ML","JTK04","to be discontinued"
"L-LDP-MO5ML","JTK04","to be discontinued"
"L-LFP-MO5ML","JTK04","to be discontinued"
"L-LFR-MO5ML","JTK04","to be discontinued"
"L-LGD-MO5ML","JTK04","to be discontinued"
"L-LGR-MO5ML","JTK04","to be discontinued"
"L-LH-MO5ML","JTK04","to be discontinued"
"L-LJP-MO5ML","JTK04","to be discontinued"
"L-LKP-MO5ML","JTK04","to be discontinued"
"L-LLP-MO5ML","JTK04","to be discontinued"
"L-LM-MO5ML","JTK04","inactive"
"L-LMO-MO5ML","JTK04","to be discontinued"
"L-LPB-MO5ML","JTK04","inactive"
"L-LPPI-MO5ML","JTK04","to be discontinued"
"L-LPP-MO5ML","JTK04","inactive"
"L-LRB-MO5ML","JTK04","to be discontinued"
"L-LRT-MO5ML","JTK04","to be discontinued"
"L-LSPE-MO5ML","JTK04","to be discontinued"
"2PR--MO100ML","JTK02","existing"
"2PR-A-BULK","JTK02",""
"2PR-B-BULK","JTK02",""
"L-CHROM301-MO7.5ML","JTK06","to be discontinued"
"L-CHROM302-MO7.5ML","JTK06","inactive"
"L-CHROM303-MO7.5ML","JTK06","to be discontinued"
"L-CHROM304-MO7.5ML","JTK06","to be discontinued"
"REM-MW-MO185ML","JTK02","to be discontinued"
"REM-MW-MO200ML","JTK06","inactive"
"BO-MMB01-BULK","JTK04",""
"BO-MMB01-MO","JTK04","new product"
"BO-MMB01-MO9G","JTK06","to be discontinued"
"BO-MMB02-BULK","JTK04",""
"BO-MMB02-MO9G","JTK06","to be discontinued"
"BO-MMB02-MO","JTK04","new product"
"BO-MMB03-BULK","JTK04",""
"BO-MMB03-MO","JTK04","new product"
"BO-MMB03-MO9G","JTK06","existing"
"BO-MMB04-BULK","JTK04",""
"BO-MMB04-MO","JTK04","new product"
"BO-MMB04-MO9G","JTK06","existing"
"BO-MMB05-BULK","JTK04",""
"BO-MMB05-MO9G","JTK06","existing"
"BO-MMB05-MO","JTK04","new product"
"F-NFSHGFC21-MO","JTK02","initial"
"F-NFSHGFN30-MO","JTK02","initial"
"F-NFSHGFW22-MO","JTK02","initial"
"F-NFSHGFW33-MO","JTK02","initial"
"F-NFSHGFW41-MO","JTK02","initial"
"TC-NFSPC01-MO","JTK01","initial"
"TC-NFSPC02-MO","JTK01","initial"
"TC-NFSPC03-MO","JTK01","initial"
"TC-NFSPC04-MO","JTK01","initial"
"TC-NFSPC08-MO","JTK01","initial"
"TC-NFSPMN20-MO","JTK01","initial"
"TC-NFSPMN30-MO","JTK01","initial"
"TC-NFSPMW30-MO","JTK01","initial"
"TC-NFSPMW33-MO","JTK01","initial"
"TC-NFSPMW41-MO","JTK01","initial"
"F-NFSLUC01-MO","JTK02","initial"
"F-NFSLUC02-MO","JTK02","initial"
"F-NFSLUC03-MO","JTK02","initial"
"F-NFSLUC05-MO","JTK02","initial"
"F-NFSLUC08-MO","JTK02","initial"
"SRM-PSOC-BULK","JTK02","initial"
"ES-PMB-MO3,5G","JTK01","inactive"
"ES-C-MOR3,5G","JTK01","to be discontinued"
"ES-EL-MOR3,5G","JTK01","inactive"
"ES-E-MOR3,5G","JTK01","inactive"
"ES-PMEO-MO3,5G","JTK01","inactive"
"ES-H-MOR3,5G","JTK01","inactive"
"ES-PMIY-MO3,5G","JTK01","inactive"
"ES-L-MOR3,5G","JTK01","inactive"
"ES-N-MOR3,5G","JTK01","inactive"
"ES-NT-MOR3,5G","JTK01","inactive"
"ES-OR-MOR3,5G","JTK01","inactive"
"ES-O-MOR3,5G","JTK01","inactive"
"ES-SD-MOR3,5G","JTK01","inactive"
"ES-SH-MOR3,5G","JTK01","inactive"
"ES-SK-MOR3,5G","JTK01","inactive"
"ES-SN-MOR3,5G","JTK01","inactive"
"ES-SP-MOR3,5G","JTK01","inactive"
"REM-OIMW-MO","JTK02","existing"
"PRM-PCCGR-MO","JTK02","existing"
"PRM-PCCLC-MO","JTK02","existing"
"PRM-PCCPC-MO","JTK02","existing"
"PRM-PCCYW-MO","JTK02","existing"
"EB-PRBP1-MO","","initial"
"EB-PRBP2-MO","","initial"
"EB-PRBP3-MO","","initial"
"CON-RPP02-MO","JTK06","existing"
"CON-RPP03-MO","JTK06","existing"
"CON-RPP04-MO","JTK06","to be discontinued"
"ES-PPM-MO@3,5G","JTK01","inactive"
"ES-PSG-MO8X3,5G","JTK01","to be discontinued"
"BRUS-PEN-MO","JTK06","to be discontinued"
"F-C1PC01-MO12G","JTK04","to be discontinued"
"F-WOECSP02-BULK","JTK04",""
"F-C1PC02-MO12G","JTK04","to be discontinued"
"F-C1PC03-MO12G","JTK04","to be discontinued"
"F-C1PC04-MO12G","JTK04","to be discontinued"
"F-C1PC05-MO12G","JTK04","inactive"
"F-C1PC06-MO12G","JTK04","inactive"
"F-C1PC07-MO12G","JTK04","inactive"
"TC-RPC01-MO12G","JTK01","existing"
"TC-RPC02-MO12G","JTK01","existing"
"TC-RPC03-MO12G","JTK01","existing"
"TC-RPC04-MO12G","JTK01","existing"
"TC-RPC05-MO12G","JTK01","existing"
"TC-RPC06-MO12G","JTK01","inactive"
"TC-RPC07-MO12G","JTK01","inactive"
"TC-RPC08-MO12G","JTK01","existing"
"TC-PC01-MO12G","JTK01","existing"
"TC-RVPC01-BULK","JTK01","initial"
"TC-RVPC01-MO","JTK01","initial"
"TC-PC02-MO12G","JTK01","existing"
"TC-RVPC02-MO","JTK01","initial"
"TC-RVPC02-BULK","JTK01","initial"
"TC-PC03-MO12G","JTK01","existing"
"TC-RVPC03-MO","JTK01","initial"
"TC-RVPC03-BULK","JTK01","initial"
"TC-PC04-MO12G","JTK01","existing"
"TC-RVPC04-MO","JTK01","initial"
"TC-RVPC04-BULK","JTK01","initial"
"TC-PC05-MO12G","JTK01","existing"
"TC-RVPC05-MO","JTK01","initial"
"TC-RVPC05-BULK","JTK01","initial"
"TC-PC06-MO12G","JTK01","existing"
"TC-RVPC06-MO","JTK01","initial"
"TC-RVPC06-BULK","JTK01","initial"
"TC-PC07-MO12G","JTK01","existing"
"TC-RVPC07-MO","JTK01","initial"
"TC-RVPC07-BULK","JTK01","initial"
"TC-PC08-MO12G","JTK01","existing"
"TC-RVPC08-BULK","JTK01","initial"
"TC-RVPC08-MO","JTK01","initial"
"BO-PPS-MO8X3,5G","JTK01","existing"
"BRUS-PO-MO17CM","JTK06","to be discontinued"
"ES-PAW-MO2G","JTK01","inactive"
"ES-PAP-MO2G","JTK01","inactive"
"ES-PBF-MO2G","JTK01","inactive"
"ES-PFP-MO2G","JTK01","to be discontinued"
"ES-PGK-MO2G","JTK01","to be discontinued"
"ES-PGA-MO2G","JTK01","to be discontinued"
"ES-PGL-MO2G","JTK01","inactive"
"ES-PHI-MO2G","JTK01","to be discontinued"
"ES-PPB-MO2G","JTK01","inactive"
"ES-PRS-MO2G","JTK01","inactive"
"ES-PRB-MO2G","JTK01","inactive"
"ES-PSP-MO2G","JTK01","inactive"
"ES-PSD-MO2G","JTK01","inactive"
"ES-PS01-MO4X2G","JTK01","inactive"
"ES-PS02-MO4X2G","JTK01","inactive"
"ES-PSB-MO2G","JTK01","inactive"
"SRM-PSDS-BULK","JTK02","initial"
"FT-PSTE-BULK","JTK02","initial"
"SRM-PSHS-BULK","JTK02","initial"
"M-PSLG-BULK","JTK02",""
"M-PSLG-MO","JTK02","existing"
"M-PSRT-BULK","JTK02",""
"M-PSRT-MO","JTK02","existing"
"M-PSRT20-BULK","JTK02",""
"M-PSRT20-MO","JTK02","existing"
"M-PSRT30-BULK","JTK02",""
"M-PSRT30-MO","JTK02","existing"
"M-PSRT40-BULK","JTK02",""
"M-PSRT40-MO","JTK02","existing"
"FMI-PRM-BULK","JTK02",""
"REM-CO-BULK","JTK02",""
"SS-PSMU-BULK","JTK02",""
"M-PSWC-MO","JTK02","existing"
"EB-PBHG-BULK","","initial"
"TC-RPMC21-BULK","JTK01","initial"
"TC-RPMC21-MO","JTK01","new product"
"TC-RVPMC31-BULK","JTK01","initial"
"TC-RVPMC31-MO","JTK01","new product"
"TC-RVPMC41-BULK","JTK01","initial"
"TC-RVPMC41-MO","JTK01","new product"
"TC-RVPMC51-BULK","JTK01","initial"
"TC-RVPMC51-MO","JTK01","new product"
"TC-RPMC62-BULK","JTK01","initial"
"TC-RPMC62-MO","JTK01","new product"
"TC-RPMN10-BULK","JTK01","initial"
"TC-RPMN10-MO","JTK01","new product"
"TC-RPMN20-BULK","JTK01","initial"
"TC-RPMN20-MO","JTK01","new product"
"TC-RPMN30-BULK","JTK01","initial"
"TC-RPMN30-MO","JTK01","new product"
"TC-RPMN40-BULK","JTK01","initial"
"TC-RPMN40-MO","JTK01","new product"
"TC-RPMN50-BULK","JTK01","initial"
"TC-RPMN50-MO","JTK01","new product"
"TC-RVPMW12-BULK","JTK01","initial"
"TC-RVPMW12-MO","JTK01","new product"
"TC-RVPMW21-BULK","JTK01","initial"
"TC-RVPMW21-MO","JTK01","new product"
"TC-RPMW22-BULK","JTK01","initial"
"TC-RPMW22-MO","JTK01","new product"
"TC-RPMW30-BULK","JTK01","initial"
"TC-RPMW30-MO","JTK01","new product"
"TC-RPMW33-BULK","JTK01","initial"
"TC-RPMW33-MO","JTK01","new product"
"TC-RPMW41-BULK","JTK01","initial"
"TC-RPMW41-MO","JTK01","new product"
"TC-RPMW42-BULK","JTK01","initial"
"TC-RPMW42-MO","JTK01","new product"
"TC-RVPMW50-BULK","JTK01","initial"
"TC-RVPMW50-MO","JTK01","new product"
"TC-RVPMW60-BULK","JTK01","initial"
"TC-RVPMW60-MO","JTK01","new product"
"TC-RVPMW32-BULK","JTK01","initial"
"TC-RVPMW32-MO","JTK01","new product"
"F-RVLPWC21-BULK","JTK02","initial"
"F-RVLPWC21-MO","JTK02","new product"
"F-RVLPWFC31-BULK","JTK02","initial"
"F-RVLPWFC31-MO","JTK02","new product"
"F-RVLPWC41-BULK","JTK02","initial"
"F-RVLPWC41-MO","JTK02","new product"
"F-RVLPWC51-BULK","JTK02","initial"
"F-RVLPWC51-MO","JTK02","new product"
"F-RVLPWC62-BULK","JTK02","initial"
"F-RVLPWC62-MO","JTK02","new product"
"F-RVLPWN10-BULK","JTK02","initial"
"F-RVLPWN10-MO","JTK02","new product"
"F-RVLPWN20-BULK","JTK02","initial"
"F-RVLPWN20-MO","JTK02","new product"
"F-RVLPWN30-BULK","JTK02","initial"
"F-RVLPWN30-MO","JTK02","new product"
"F-RVLPWN40-BULK","JTK02","initial"
"F-RVLPWN40-MO","JTK02","new product"
"F-RVLPWN50-BULK","JTK02","initial"
"F-RVLPWN50-MO","JTK02","new product"
"F-RVLPWW12-BULK","JTK02","initial"
"F-RVLPWW12-MO","JTK02","new product"
"F-RVLPWW21-BULK","JTK02","initial"
"F-RVLPWW21-MO","JTK02","new product"
"F-RVLPWW22-BULK","JTK02","initial"
"F-RVLPWW22-MO","JTK02","new product"
"F-RVLPWW30-BULK","JTK02","initial"
"F-RVLPWW30-MO","JTK02","new product"
"F-RVLPWW32-BULK","JTK02","initial"
"F-RVLPWW32-MO","JTK02","new product"
"F-RVLPWW33-BULK","JTK02","initial"
"F-RVLPWW33-MO","JTK02","new product"
"F-RVLPWW41-BULK","JTK02","initial"
"F-RVLPWW41-MO","JTK02","new product"
"F-RVLPWW42-BULK","JTK02","initial"
"F-RVLPWW42-MO","JTK02","new product"
"F-RVLPWW50-BULK","JTK02","initial"
"F-RVLPWW50-MO","JTK02","new product"
"F-RVLPWW60-BULK","JTK02","initial"
"F-RVLPWW60-MO","JTK02","new product"
"EB-DMLB-MO","JTK02","existing"
"EB-DMCL-MO","JTK02","existing"
"EB-DMCC-MO","JTK02","existing"
"CUS-PDMCC21-MO","JTK06","existing"
"CUS-PDMCC21NP-MO","JTK06","initial"
"CUS-RWPDMCC21-MO","JTK02","new product"
"CUS-RVPDMCC21-MO","JTK06","new product"
"CUS-PDMCC31-MO","JTK06","new product"
"CUS-PDMCC41-MO","JTK06","new product"
"CUS-PDMCC51-MO","JTK06","existing"
"CUS-PDMCC51NP-MO","JTK06","initial"
"CUS-RWPDMCC51-MO","JTK02","new product"
"CUS-RVPDMCC51-MO","JTK02","new product"
"CUS-PDMCC62-MO","JTK06","new product"
"CUS-PDMCN10-MO","JTK06","existing"
"CUS-PDMCN10NP-MO","JTK06","initial"
"CUS-RWPDMCN10-MO","JTK02","new product"
"CUS-RVPDMCN10-MO","JTK06","new product"
"CUS-PDMCN20-MO","JTK06","new product"
"CUS-PDMCN30-MO","JTK06","existing"
"CUS-PDMCN30NP-MO","JTK06","initial"
"CUS-RWPDMCN30-MO","JTK02","new product"
"CUS-RVPDMCN30-MO","JTK06","new product"
"CUS-PDMCN40-MO","JTK06","new product"
"CUS-PDMCN50-MO","JTK06","existing"
"CUS-PDMCN50NP-MO","JTK06","initial"
"CUS-RWPDMCN50-MO","JTK02","new product"
"CUS-RVPDMCN50-MO","JTK06","new product"
"CUS-PDMCW12-MO","JTK06","new product"
"CUS-PDMCW21-MO","JTK06","new product"
"CUS-PDMCW22-MO","JTK06","existing"
"CUS-PDMCW22NP-MO","JTK06","initial"
"CUS-RWPDMCW22-MO","JTK02","new product"
"CUS-RVPDMCW22-MO","JTK06","new product"
"CUS-PDMCW30-MO","JTK06","existing"
"CUS-PDMCW30NP-MO","JTK06","initial"
"CUS-RWPDMCW30-MO","JTK02","new product"
"CUS-RVPDMCW30-MO","JTK06","new product"
"CUS-PDMCW32-MO","JTK06","new product"
"CUS-PDMCW33-MO","JTK06","existing"
"CUS-PDMCW33NP-MO","JTK06","initial"
"CUS-RWPDMCW33-MO","JTK02","new product"
"CUS-RVPDMCW33-MO","JTK06","new product"
"CUS-PDMCW41-MO","JTK06","existing"
"CUS-PDMCW41NP-MO","JTK06","initial"
"CUS-RWPDMCW41-MO","JTK02","new product"
"CUS-RVPDMCW41-MO","JTK06","new product"
"CUS-PDMCW42-MO","JTK06","existing"
"CUS-PDMCW42NP-MO","JTK06","initial"
"CUS-RWPDMCW42-MO","JTK02","new product"
"CUS-RVPDMCW42-MO","JTK06","new product"
"CUS-PDMCW50-MO","JTK06","new product"
"CUS-PDMCW60-MO","JTK06","new product"
"ES-PPR-MO","JTK04","existing"
"FA-PFMS-MO50ML","JTK02","existing"
"L-PGTC-MO","JTK04","existing"
"L-PMLP-MO","JTK04","new product"
"TC-PMC21-MO12G","JTK01","existing"
"TC-PMC31-BULK","JTK01","initial"
"TC-PMC31-MO","JTK01","existing"
"TC-PMC41-BULK","JTK01","initial"
"TC-PMC41-MO","JTK01","existing"
"TC-PMC51-BULK","JTK01",""
"TC-PMC51-MO","JTK01","existing"
"TC-PMC62-MO12G","JTK01","existing"
"TC-PMN10-MO12G","JTK01","existing"
"TC-PMN20-MO","JTK01","existing"
"TC-PMN30-MO12G","JTK01","existing"
"TC-PMN40-MO","JTK01","existing"
"TC-PMN50-MO","JTK01","existing"
"TC-PMW12-BULK","JTK01",""
"TC-PMW12-MO","JTK01","existing"
"TC-PMW21-BULK","JTK01",""
"TC-PMW21-MO","JTK01","existing"
"TC-PMW22-MO12G","JTK01","existing"
"TC-PMW30-MO","JTK01","existing"
"TC-PMW32-BULK","JTK01",""
"TC-PMW32-MO","JTK01","existing"
"TC-PMW33-MO12G","JTK01","existing"
"TC-PMW40-MO","JTK01","new product"
"TC-PMW41-MO12G","JTK01","existing"
"TC-PMW42-MO12G","JTK01","existing"
"TC-PMW50-MO","JTK01","existing"
"TC-PMW60-MO","JTK01","existing"
"B-PMT-MO11G","JTK01","existing"
"EL-PPLCB-MO2.7G","JTK02","existing"
"EL-PPLJB-MO2.7G","JTK02","existing"
"PRM-PRI01-MO","JTK02","existing"
"PRM-PRI02-MO","JTK02","existing"
"ES-PARR-MO","JTK06","existing"
"BO-DUA01-BULK","JTK04","initial"
"BO-DUA02-BULK","JTK04","initial"
"BO-DUA-MO","JTK04","new product"
"BO-DUB01-BULK","JTK04","initial"
"BO-DUB02-BULK","JTK04","initial"
"BO-DUB-MO","JTK04","new product"
"L-PS01-BULK","JTK04","initial"
"L-PS01-MO","JTK04","new product"
"L-PS02-BULK","JTK04","initial"
"L-PS02-MO","JTK04","new product"
"L-PS03-BULK","JTK04","initial"
"L-PS03-MO","JTK04","new product"
"L-PS04-BULK","JTK04","initial"
"L-PS04-MO","JTK04","new product"
"L-PS05-BULK","JTK04","initial"
"L-PS05-MO","JTK04","new product"
"L-PS06-BULK","JTK04","initial"
"L-PS06-MO","JTK04","new product"
"L-PS07-BULK","JTK04","initial"
"L-PS07-MO","JTK04","new product"
"L-PS08-BULK","JTK04","initial"
"L-PS08-MO","JTK04","new product"
"CON-PTCL01-MO","JTK02","existing"
"CON-PTCL02-MO","JTK02","existing"
"CON-PTCL03-MO","JTK02","existing"
"F-PTCMCC62-MO","JTK04","existing"
"F-PTCMCN10-MO","JTK04","existing"
"F-PTCMCN30-MO","JTK04","existing"
"F-PTCMCN50-MO","JTK04","existing"
"F-PTCMCW22-MO","JTK04","existing"
"F-PTCMCW33-MO","JTK04","existing"
"F-PTCMCW42-MO","JTK04","existing"
"F-PTCMCW52-MO","JTK04","existing"
"L-PTMCE-BULK","JTK04",""
